"x","f","df"
0.000000,0.000000,0.000000
0.031416,0.000987,0.062786
0.062832,0.003945,0.125446
0.094248,0.008869,0.187882
0.125664,0.015750,0.249940
0.157079,0.024573,0.311470
0.188495,0.035320,0.372406
0.219911,0.047972,0.432614
0.251327,0.062502,0.491963
0.282743,0.078883,0.550325
0.314159,0.097080,0.607588
0.345575,0.117059,0.663659
0.376991,0.138779,0.718408
0.408407,0.162198,0.771709
0.439823,0.187267,0.823479
0.471238,0.213938,0.873582
0.502654,0.242155,0.921919
0.534070,0.271864,0.968408
0.565486,0.303002,1.012923
0.596902,0.335508,1.055418
0.628318,0.369316,1.095731
0.659734,0.404355,1.133801
0.691150,0.440555,1.169563
0.722566,0.477841,1.202906
0.753982,0.516136,1.233770
0.785397,0.555360,1.262036
0.816813,0.595431,1.287656
0.848229,0.636266,1.310590
0.879645,0.677778,1.330739
0.911061,0.719879,1.348055
0.942477,0.762479,1.362490
0.973893,0.805487,1.373997
1.005309,0.848810,1.382496
1.036725,0.892352,1.387955
1.068141,0.936018,1.390396
1.099556,0.979712,1.389696
1.130972,1.023334,1.385838
1.162388,1.066787,1.378867
1.193804,1.109971,1.368713
1.225220,1.152786,1.355360
1.256636,1.195131,1.338840
1.288052,1.236908,1.319121
1.319468,1.278014,1.296187
1.350884,1.318350,1.270069
1.382300,1.357815,1.240789
1.413715,1.396310,1.208337
1.445131,1.433736,1.172715
1.476547,1.469994,1.133992
1.507963,1.504987,1.092198
1.539379,1.538619,1.047364
1.570795,1.570795,0.999507
1.602211,1.601420,0.948689
1.633627,1.630403,0.894974
1.665043,1.657653,0.838410
1.696459,1.683082,0.779058
1.727874,1.706602,0.716955
1.759290,1.728129,0.652200
1.790706,1.747581,0.584877
1.822122,1.764878,0.515040
1.853538,1.779942,0.442784
1.884954,1.792699,0.368204
1.916370,1.803077,0.291380
1.947786,1.811007,0.212408
1.979202,1.816423,0.131398
2.010618,1.819263,0.048447
2.042033,1.819467,-0.036351
2.073449,1.816979,-0.122851
2.104865,1.811748,-0.210959
2.136281,1.803724,-0.300579
2.167697,1.792862,-0.391552
2.199113,1.779122,-0.483766
2.230529,1.762466,-0.577110
2.261945,1.742861,-0.671441
2.293361,1.720278,-0.766632
2.324777,1.694692,-0.862552
2.356192,1.666083,-0.959049
2.387608,1.634434,-1.055991
2.419024,1.599733,-1.153250
2.450440,1.561973,-1.250668
2.481856,1.521151,-1.348103
2.513272,1.477269,-1.445442
2.544688,1.430331,-1.542510
2.576104,1.380350,-1.639149
2.607520,1.327340,-1.735230
2.638936,1.271322,-1.830625
2.670351,1.212320,-1.925164
2.701767,1.150362,-2.018653
2.733183,1.085484,-2.111010
2.764599,1.017723,-2.202079
2.796015,0.947123,-2.291698
2.827431,0.873731,-2.379743
2.858847,0.797599,-2.466020
2.890263,0.718786,-2.550420
2.921679,0.637351,-2.632799
2.953095,0.553362,-2.713040
2.984510,0.466888,-2.790963
3.015926,0.378003,-2.866374
3.047342,0.286788,-2.939235
3.078758,0.193325,-3.009406
3.110174,0.097701,-3.076728
3.141590,0.000008,-3.141059
3.173006,-0.099658,-3.202301
3.204422,-0.201199,-3.260313
3.235838,-0.304510,-3.314999
3.267254,-0.409487,-3.366284
3.298669,-0.516017,-3.413920
3.330085,-0.623987,-3.457824
3.361501,-0.733279,-3.498026
3.392917,-0.843775,-3.534346
3.424333,-0.955349,-3.566670
3.455749,-1.067876,-3.594920
3.487165,-1.181225,-3.619016
3.518581,-1.295266,-3.638894
3.549997,-1.409864,-3.654444
3.581413,-1.524882,-3.665643
3.612828,-1.640180,-3.672327
3.644244,-1.755618,-3.674465
3.675660,-1.871054,-3.672062
3.707076,-1.986341,-3.665027
3.738492,-2.101335,-3.653330
3.769908,-2.215887,-3.636905
3.801324,-2.329849,-3.615737
3.832740,-2.443071,-3.589795
3.864156,-2.555403,-3.559046
3.895572,-2.666693,-3.523531
3.926987,-2.776790,-3.483153
3.958403,-2.885543,-3.437882
3.989819,-2.992799,-3.387812
4.021235,-3.098406,-3.332935
4.052651,-3.202214,-3.273252
4.084067,-3.304071,-3.208779
4.115483,-3.403828,-3.139547
4.146899,-3.501335,-3.065572
4.178315,-3.596444,-2.986902
4.209731,-3.689008,-2.903630
4.241146,-3.778882,-2.815728
4.272562,-3.865923,-2.723262
4.303978,-3.949990,-2.626353
4.335394,-4.030942,-2.525019
4.366810,-4.108642,-2.419372
4.398226,-4.182956,-2.309508
4.429642,-4.253753,-2.195458
4.461058,-4.320901,-2.077349
4.492474,-4.384277,-1.955293
4.523890,-4.443756,-1.829384
4.555305,-4.499219,-1.699734
4.586721,-4.550552,-1.566415
4.618137,-4.597640,-1.429606
4.649553,-4.640377,-1.289454
4.680969,-4.678659,-1.146040
4.712385,-4.712385,-0.999523
4.743801,-4.741461,-0.850045
4.775217,-4.765795,-0.697765
4.806633,-4.785303,-0.542828
4.838049,-4.799902,-0.385367
4.869464,-4.809516,-0.225589
4.900880,-4.814076,-0.063646
4.932296,-4.813515,0.100315
4.963712,-4.807773,0.266091
4.995128,-4.796796,0.433521
5.026544,-4.780534,0.602416
5.057960,-4.758945,0.772600
5.089376,-4.731990,0.943882
5.120792,-4.699639,1.116056
5.152208,-4.661866,1.288950
5.183623,-4.618653,1.462351
5.215039,-4.569985,1.636061
5.246455,-4.515856,1.809874
5.277871,-4.456267,1.983607
5.309287,-4.391222,2.157070
5.340703,-4.320734,2.330023
5.372119,-4.244822,2.502276
5.403535,-4.163511,2.673622
5.434951,-4.076833,2.843838
5.466367,-3.984827,3.012780
5.497782,-3.887537,3.180134
5.529198,-3.785016,3.345700
5.560614,-3.677320,3.509374
5.592030,-3.564515,3.670884
5.623446,-3.446671,3.830039
5.654862,-3.323866,3.986599
5.686278,-3.196185,4.140390
5.717694,-3.063717,4.291221
5.749110,-2.926559,4.438869
5.780526,-2.784814,4.583199
5.811941,-2.638592,4.723894
5.843357,-2.488007,4.860756
5.874773,-2.333181,4.993729
5.906189,-2.174241,5.122565
5.937605,-2.011320,5.247056
5.969021,-1.844558,5.367042
6.000437,-1.674098,5.482350
6.031853,-1.500091,5.592803
6.063269,-1.322691,5.698211
6.094685,-1.142061,5.798507
6.126100,-0.958365,5.893397
6.157516,-0.771773,5.982668
6.188932,-0.582462,6.066352
6.220348,-0.390612,6.144258
6.251764,-0.196406,6.216243
6.283180,-0.000033,6.250732
